Name,Description,Deadline,Application_url,Eligibility
Appalachia Nonprofit Resource Center Technical Assistance Program,"I. Timeline

Deadlines

Oct 9, 2020

II. Application Process

Links to the application packet and the online application are available on the program website .
Inform the appropriate ARC State Program Manager after submitting an application.

HOW TO APPLY To be considered for participation in one of the training sessions, complete the online 15-question application by close of business (5:00pm EDT) on Friday, October 9, 2020.
Be prepared to request your preferred topic areas (short-term management, long-term financial management, mission and operations, or fundraising) and also prioritize in order the desired session (Fall 6-week course; Fall 11-
week course; Winter A or B 5-week course; or Winter 10-week course).
Please inform your ARC State Program Manager when you apply for this initiative.

III. Contact

Online 
email form",,https://appalachianrc.arc.gov/wp-content/uploads/2020/09/AppalachiaNRC-Application-Packet.pdf,1
Library Services and Technology Act (LSTA) - Planning Grant,"South Carolina public libraries may apply for Planning Grants of up to $2500 for consultant services to perform community needs assessment, project-based strategic planning, or other preparatory planning or research in support of a future library project such as a major outreach program mounted by the library. The knowledge gained from the planning process will improve the likelihood of successful outcomes for the later project.

Funds can be used for professional assistance in research or professional consultation, or can be used to free up staff who will conduct the research or allow staff to spend time devoted to the research and planning process. The Planning Grant project must result in a document or a presentation (such as a PowerPoint demonstration or a professionally-mounted poster session or other graphical illustration) that shows a clear foundation for a project to be implemented. (The resulting document could also be a report that demonstrates why the project is not feasible.)  The document or a one-page summary thereof will be submitted to the State Library in lieu of an evaluation/final report.

Note:  The grant cannot be used to fund building plans or consultation for library building renovation or new construction.",,https://guides.statelibrary.sc.gov/ld.php?content_id=23804472,0
"South Carolina Coronavirus Aid, Relief, and Economic Security (SC CARES) Elementary and Secondary School Emergency Relief (ESSER) Subgrant 2020","The Coronavirus Aid, Relief, and Economic Security Act (CARES Act) provides substantial relief to students and educators who have been profoundly affected by the Novel Coronavirus Disease (COVID-19). Under the Elementary and Secondary School Emergency Relief (ESSER) Fund, the US Department of Education (USED) awarded a grant to the South Carolina Department of Education (SCDE) for the purpose of providing local educational agencies (LEAs) with emergency relief funds to address the impact that COVID-19 has had, and continues to have, on elementary and secondary schools in South Carolina. This includes both continuing to provide educational services, such as remote learning, while schools and campuses are closed, and developing and implementing plans for the return to normal operations.",,https://ed.sc.gov/finance/grants/scde-grant-opportunities/south-carolina-coronavirus-aid-relief-and-economic-security-sc-cares-elementary-and-secondary-school-emergency-relief-esser-subgrant-2020/sc-cares-esser-folder/sc-cares-esser-application-guidance-2020-part-ii/,1
Forensic Science Grant Program Funding,"The purpose of the Coverdell Grant Program is to assist state agencies and local units of government in carrying out specific programs to improve the quality and timeliness of forensic science and medical examiner services. Among other things, funds may be used to eliminate backlogs in the analysis of forensic evidence, and to train forensic laboratory personnel, as needed, to eliminate such a backlog. Grants will pay for 100 percent of the program costs and successful applications under this special solicitation will have a one-year grant period. The deadline for new user registration requests is October 9, 2020 and the application deadline is October 30, 2020 via SCDPS' new web-based application tool, SCDPS Grants, located at www.scdpsgrants.com.  You may refer to the FY 2020 CJ/JJ Grant Solicitation Workshop Presentation below for step-by-step instructions on navigating SCDPS Grants.

The alarming proliferation of synthetic drugs and opioids have had a crushing effect on many crime laboratories. Synthetic opioids in particular may be more difficult to analyze than traditional opiates, and validating methods for new drugs as they emerge may significantly slow processing of these samples. Medical examiners and forensic pathologists have also been overwhelmed with the volume of autopsies as a result of opioids and synthetic drug-related overdose deaths. To address these issues, states are to allocate approximately 64% of available funds to specifically target the challenges the opioid abuse crisis has brought to the forensic science community.  To this end, the OHSJP welcomes opioid and synthetic drugs-specific projects for FY 2020.",,https://scdps.sc.gov/sites/default/files/Documents/ohsjp/fsgf/Special%20Opioid%20Solicitation-2018%20Paul%20Coverdell%20Application%20Guidelines%20and%20Procedures.docx,0
Recycling Grant Funding for K-12 Schools,"I. Timeline

Please download the below application, review the application guidelines and complete. Grant applications will be awarded on a first-come, first-served basis through February 26, 2021 or until funds are exhausted.

II. Application Process

Submittal Instructions and Application Guidelines
1. Schools may request a maximum of $1,500.00.
2. Grant applications will be awarded on a first-come, first-served basis through February 26, 2021 or until funds are exhausted. Only one recycling education grant application per school will be accepted.
3. Applications may be emailed to swgrants@dhec.sc.gov or mailed to the attention of Stefanie Vandiver at:
SC DHEC- Office of Solid Waste Reduction and Recycling, 2600 Bull Street, Columbia, SC 29201.
4. Any public or private school or public school district in South Carolina is eligible to apply. Only one application per school will be accepted for grant consideration. Applications must be submitted by school or district staff.
5. Applications received after the deadline will not be considered.
6. Incomplete applications will not be considered for funding.
7. Funds may be requested only for items outlined in the grant guidelines.
8. Applications will not be considered from grantees with outstanding grant requirements from prior awards.
9. Applicants must comply with all applicable school, county, or district procurement policies.

III. Contact

If you have questions about the grant application please contact DHEC's Office of Solid Waste Reduction and Recycling via email at swgrants@dhec.sc.gov or by calling 1-800-768-7348.",,https://www.scdhec.gov/sites/default/files/media/document/2020-21%20School%20Grant%20Application..pdf,0
No Kid Hungry and Amazon Breakfast After the Bell Grants,"Applying schools must participate, or plan to participate, in the National School Breakfast Program and either be implementing or be prepared to implement a Breakfast After the Bell delivery model. Successful models include collaboration of many stakeholders in the school district, including the school principal, teachers, custodial and cafeteria staff, school nutrition director, and superintendent. All applications must have authorized approval by the school principal and school nutrition director.

Eligible Uses of School Breakfast Program Grant Funds Include:
The purchase of equipment, such as insulated bags and grab-and-go carts;
The purchase of supplies, such as trash cans and trash bags or other items associated with operating the Breakfast After the Bell program;
The purchase of technology, such as a point of service machines; and
The purchase of materials needed for breakfast promotion, such as banners and ads.
*As a general rule, we do not provide funding for the cost of food.",,https://www.nokidhungry.org/node/876,0
Spartanburg County Foundation: Covid-19 Grant Opportunity,"I. Timeline

Grant proposals will be accepted on a rolling basis through an online application.

II. Application Process

Application Information The online application will require your organization to describe the following:
Project Overview
- Requested Grant Amount
- Please provide organization's mission.
- Briefly state the purpose of the grant request (i.e. modifying facilities, technology equipment, maintaining services, etc.) Project Narrative
  How has this organization been adversely affected by the COVID-19 pandemic and what needs have resulted?
  What outcomes will the grant allow this organization to achieve? (i.e. modifying facilities to comply with social distancing guidelines, transitioning services online, supporting operations to maintain services)
  What disproportionately affected populations are served by this organization? (Check all that apply)
  Please describe the demographics of those served by this organization (i.e. ethnicity, race, age, income, education level)
  Please provide a detailed explanation of how the funds will be used.
  Please provide data or emerging trends that supports this funding request. (Data provided can be used from local and/or national sources)
  Please list all federal, state, local and private funds your organization has already applied for and/or received to address COVID-19.

Required Attachments
- Verification of tax-exempt status (IRS determination letter)
- List of Board of Directors, officers, and staff
- Annual Budget
- Audited financial statements OR most recent IRS Form 990, if audit was not conducted

III. Contact

If you have any questions, please contact Jasmine Guest, program officer, at jguest@spcf.org",,https://124osm314wfg31y4ox2xngxz-wpengine.netdna-ssl.com/wp-content/uploads/2020/05/The-Spartanburg-County-Foundation-COVID-19-Grant-Opportunity-Request-for-Proposals-_Final.pdf,1
Community Foundation of the Lowcountry - Opportunity Grants,"Opportunity Grants are available to nonprofits organizations throughout our four-county service area and have a grant amount under $10,000.

Opportunity Grants are Community Impact Grants with a grant request budget under $10,000. These grants are designed to stimulate and help launch new programs and projects; or to help focus, enhance, and/or expand an organization's existing programs and services; or as an investment in a capital project which is a critical enhancement to the mission of the nonprofit organization.

These grants focus on community impact.

There will be a preference for projects or programs that support marginalized members of the communities we serve.

Opportunity Grants are available to nonprofit organizations throughout the Community Foundation's four-county service area of Beaufort, Colleton, Hampton and Jasper Counties. The grant term is typically 12 months and grants are made up to $10,000.",,https://cf-lowcountry.org/nonprofits-and-grantees/about-our-grants/opportunity-grant-guidelines,0
COVID-19 Relief & Recovery Fund,"Coastal Community Foundation of South Carolina has launched the COVID-19 Relief & Recovery Fund to receive charitable donations and support communities disproportionately impacted by the COVID-19 pandemic and the economic consequences of this outbreak. Below is the payment form where you can securely make tax-deductible donations.

This Fund will provide flexible resources to organizations in our region working with priority groups, including senior citizens, children, health-compromised, and workers in the hospitality and tourism industry in our nine-county service area of Beaufort, Berkeley, Charleston, Colleton, Dorchester, Georgetown, Hampton, Horry and Jasper counties. 

The immediate threat to our communities is the spread of this virus and the pressures it could place on our healthcare systems. In addition to that, we anticipate short and long-term effects on our workforce and local economies. By pooling our resources now to support those most affected, our region will be better equipped to respond quickly and sustain that response over the duration of this crisis.

The fund is seeded with $140,000 with support from Coastal Community Foundation, Waccamaw Community Foundation and Frances P. Bunnelle Foundation. We are proud to also have support from regional institutional partners including Black River United Way, the Chapin Foundation, the Gaylord & Dorothy Donnelley Foundation, Social Venture Partners Charleston, Trident United Way, United Way of Horry County and United Way of the Lowcountry.

We are working to raise as many financial resources as we can to meet the current and future needs of our community. If you or your organization are willing to support this fund, please give now.",,https://coastalcommunityfoundation.org/covid-19-relief-recovery-fund-how-to-donate-apply-for-grants-and-other-frequently-asked-questions/,0
Midlands Community Response Fund,"I. Timeline

No information provided

II. Application Process

Midlands Community Response Fund: COVID-19
The Midlands Community Response Fund supports nonprofits in our 11-county region that are providing direct services in response to the COVID-19 public health emergency.

The Midlands Community Response Fund will provide resources to nonprofit organizations in our region working with priority groups, including senior citizens, individuals who are health compromised, part-time and/or seasonal workers, and individuals who are housing insecure in our 11-county service areas of Calhoun, Clarendon, Fairfield, Kershaw, Lee, Lexington, Newberry, Orangeburg, Richland, Saluda, and Sumter.

III. Contact

Erin E. Johnson
ERIN@YOURFOUNDATION.ORG

(803) 254-5601 X322",,https://yourfoundation.org/mcrf/,1
Tri-County COVID-19 Response Fund,"From mid-March to the end of June 2020, Trident United Way fundraised for the Tri-County COVID-19 Response Fund to address the emerging needs presented by the impact from COVID-19 (Coronavirus). Our goal was to UNITE the community to give generously as one of the ways that lead the support efforts in the Tri-County region to improve lives. rident United Way has partnered with Coastal Community Foundation to manage requests for the Tri-County: Berkeley, Charleston, and Dorchester counties in South Carolina, to ensure funds are disbursed to meet the greatest needs related to COVID-19. Note that organizations must meet Conditions of Funding in order to be considered

TUW provides funding to qualifying organizations with which they have an existing relationship and at least 50% of the organization's service population is at or below 200% of the poverty level. An existing relationship is defined as a documented relationship as an active Network partner or as a current or a previous Program Investment grantee, Basic Needs grantee, or EFSP grant recipient in good standing. Funds will primarily be used to address the emerging basic needs of individuals or families related to the COVID-19 crisis. However, TUW reserves the right to shift priorities based on data supporting changing community needs related to COVID-19 changing impacts.",,https://www.tuw.org/covid19response,0
N.E.W. Fund (Neighborhoods Energized to Win),"I. Timeline

Deadline: 5 p.m. on Jan. 15, or next business day if that date falls on a weekend.

II. Application Process

Application process and schedule
New applicants or those who applied prior to 2015 are required to attend a pre-application session at Coastal Community Foundation in November. Applications are due in mid January. Select groups may receive a site visit and/or follow-up questions, with final decisions announced in late April. All grant recipients must attend a mandatory information session in May

Apply
https://coastalcommunityfoundation.org/grantee-login/

III. Contact

CHARLESTON
1691 Turnbull Avenue
North Charleston, SC 29405 
Phone: 843-723-3635

BEAUFORT
2015 Boundary Street, Suite 215
Beaufort, SC 29902 
Phone: 843-379-3400",,https://coastalcommunityfoundation.org/competitive-grants/n-e-w-fund-neighborhoods-energized-to-win/,1
The Mark Elliott Motley Foundation Grant,"I. Timeline

The Foundation's fiscal year is July 1 - June 30. The deadline to submit complete proposals will be March 31. The Foundation will contact applicants to confirm receipts of their proposals. Grants will be made in June.

II. Application Process

The Foundation invites new organizations seeking support to make an informal inquiry before submitting a proposal. If you have submitted a proposal in the past, an inquiry letter is not necessary. Please direct all written grant inquiries and proposals to The Mark Elliott Motley Foundation, Inc., P.O. Box 1014, Charleston, SC 29402.

Qualified charities should make a proposal in letter form and include the following information:

- A description of the organization, it's purposes, programs, staffing and governing board.
- The organizations latest financial statements, including latest interim and last annual statements.
- Evidence from the IRS of the organizations tax-exempt status and that the applying organization itself is not a private foundation.
- The organization's latest filed Form 990.
- A description of the proposed project and full justification for it's funding, including a project budget and other funding sources of the project.

III. Contact

Jennifer Alphonse, Vice President
jalphonse09@gmail.com

Mailing address:
The Mark Elliott Motley Foundation, Inc.
PO Box 1014
Charleston, SC 29402",,http://www.motleyfoundation.org/guidelines.html,1
North America STEM and Youth Leadership Grants,"Our philanthropic vision is to help young people grow into productive, successful adults. We are proud to support initiatives around the world that prepare the next generation of leaders and innovators.
H.B. Fuller's corporate giving is focused STEM - science, technology, engineering and math - education and youth leadership development. Funding is available in the communities surrounding H.B. Fullers headquarters in St. Paul, Minnesota, and several North America locations where the company operates. Additional funding is directed to key projects in locations outside the US and are made by invitation only.

North America STEM and Youth Leadership Grants
H.B. Fuller conducts an annual grant cycle in the following communities where we operate: Atlanta, Georgia; Chicago, Illinois; Grand Rapids, Michigan; Michigan Center, Michigan; Paducah, Kentucky; Peabody, Massachusetts; Rexdale, Ontario; Simpsonville, South Carolina; South Bend, Indiana; and Vancouver, Washington. Applications accepted April 1  July 31.",,https://www.hbfuller.com/-/media/files/community/hb-fuller-grant-guidelines.ashx?la=en&hash=E212690309B8D65BF614F832664CE9C77E4EB50E,1
Community Impact Grants - Open Granting,"Focus Areas
The needs and opportunities in Greenwood County are numerous, and local resources to meet these are plentiful.  Greenwood community members have consistently been generous in their support of local organizations and individuals in need.

But because the resources of the Greenwood County Community Foundation are not limitless, we have established Community Impact Grants in strategic Focus Areas. Focus Areas are designed to be broad enough to encompass a wide range of programs, projects, and people.  They are subject to reconsideration by the Foundation's Board and Staff as community concerns change and evolve.

Open Granting
This cycle will be open for any grant request meeting our granting guidelines, but particularly for programs and projects which do not fall within any of the above categories.

Any organization which has not received a grant from GCCF during this calendar year may apply in the Open Granting cycle. Requests which were submitted earlier in this calendar year but did not receive funding may be rolled into this cycle.",,https://www.greenwoodcf.org/grants/2020-timeline-and-applications/,0
Metropolitan Arts Council - Organization Grants,"Purpose
The funding priority of the arts organizations quarterly project grant program is given to projects that strongly consider the affect the project will have in the community: projects that provide a consistent funding mechanism for the arts and cultural organizations regarding payments to artists and artist-related costs; projects that promote cultural tourism by supporting special efforts to entice visitors to include arts activities in their Greenville itineraries; projects that advance the artistic, administrative and organizational capacity of the arts/cultural organizations; projects that ensure access to the arts for all residents and visitors; projects that help stimulate economic and community development through the arts; and projects that emphasize arts programming that develop and/or attract new arts audiences. Expenses considered are artist fees, production or exhibition-related costs and marketing and promotion campaigns. Consideration of an organizations' staff or overhead expenses, if included, will be decided on a case-to-case basis.

MAC'S MISSION & THE GRANT PROGRAM PURPOSE 
The Metropolitan Arts Council (MAC) is a 47 year-old arts service and development non-profit agency that provides financial support and technical assistance to artists, arts and community organizations and arts educators in Greenville County. The arts are an essential part of life in Greenville. MAC serves as a catalyst for participation, education, development, and promotion of excellence in the arts in the community. Its mission is served further through the Quarterly Grant Program when funded projects expand availability and accessibility of the arts within our community; involve young people in the arts; provide arts experiences to new or underserved audiences; use the arts in an innovative way to enhance community life; and show collaboration among two or more organizations and/or individuals. MAC believes that supporting and helping to create a strong, fluent and flourishing arts environment benefits the community as much as it does the artists, and produces a rich array of cultural offerings for residents as well as for tourists.
MAC's Quarterly Grants Program is made possible from support provided by public and private entities including MAC's Campaign for the Arts, the City of Greenville, BMW Manufacturing Company, Michelin North America, Inc., SEW Eurodrive and the South Carolina Arts Commission.

FUNDING PRIORITIES 
Funding priority is given to organization applicants that strongly consider the project's impact in the community: projects that provide a consistent funding mechanism for the arts by way of payments to artists and artist-related costs; projects that promote cultural tourism by supporting special efforts to entice visitors to include arts activities in their Greenville itineraries; projects that advance the artistic, administrative and organizational capacity of the arts/cultural organizations;
projects that ensure access to the arts for all residents and visitors; projects that help stimulate economic and community development through the arts; and projects that emphasize arts programming that develop and/or attract new arts audiences. Expenses considered are artist fees, production or exhibition-related costs, and marketing/promotional campaigns.",,http://3zmmoq2vpikbi8ogk35yj0co-wpengine.netdna-ssl.com/wp-content/uploads/ORGANIZATION-PROJECT-SUPPORT-Application-FY20.pdf,0
