,Name,Opportunity Number,Eligibility,Agency Name,Description
10,BRAIN Initiative Fellows: Ruth L. Kirschstein National Research Service Award (NRSA) Individual Postdoctoral Fellowship (F32),RFA-MH-20-620,"Others (see text field entitled ""Additional Information on Eligibility"" for clarification)Small businessesPrivate institutions of higher educationFor profit organizations other than small businessesPublic and State controlled institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher education",National Institutes of Health,"The purpose of the The Brain Research through Advancing Innovative Neurotechnologies (BRAIN) Initiative Fellows (F32) program is to enhance the research training of promising postdoctorates, early in their postdoctoral training period, who have the potential to become productive investigators in research areas that will advance the goals of the BRAIN Initiative. Applications are encouraged in any research area that is aligned with the BRAIN Initiative, including neuroethics. Applicants are expected to propose research training in an area that clearly complements their predoctoral research. Formal training in analytical tools appropriate for the proposed research is expected to be an integral component of the research training plan. In order to maximize the training potential of the F32 award, this program encourages applications from individuals who have not yet completed their terminal doctoral degree and who expect to do so within 12 months of the application due date. On the application due date, candidates may not have completed more than 12 months of postdoctoral training."
11,Broad Agency Announcement (BAA) for 3D Elevation Program (3DEP),G20AS00104,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Small businessesNative American tribal governments (Federally recognized)Public and State controlled institutions of higher educationCounty governmentsSpecial district governmentsIndependent school districtsCity or township governmentsPrivate institutions of higher educationNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsIndividualsFor profit organizations other than small businesses",Geological Survey,"This Broad Agency Announcement (BAA) is issued to facilitate 
the collection of lidar and derived elevation data for the 3D 
Elevation Program (3DEP). The BAA continues the USGS¿s long 
standing approach to elevation data acquisition through a 
combination of contracting through the USGS Geospatial 
Products and Services Contracts (GPSC) and partner 
acquisitions. The BAA is meant to provide increased visibility 
to these existing processes for data acquisition partnerships 
to the broadest stakeholder community possible.

Proposals are invited from applicants who wish to propose a 
partnership with 3DEP to fund lidar data acquisition and the 
creation of lidar-derived elevation products. Applicants may 
fund an acquisition project through the USGS Geospatial 
Products and Services Contract (GPSC) or they may request 3DEP 
funds to apply towards a lidar data acquisition project where 
the requesting partner uses their own contracting vehicle. 
Federal agencies, state and local governments, tribes, 
academic institutions and the private sector are eligible to 
submit proposals. The Government will review proposals based 
on the project¿s alignment with the evaluation criteria 
identified in section VI.A. of this BAA."
12,Role of Myeloid Cells in Persistence and Eradication of HIV-1 Reservoirs from the Brain (R21 Clinical Trial Not Allowed),RFA-MH-20-702,"County governmentsSmall businessesPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsPublic and State controlled institutions of higher educationNative American tribal governments (Federally recognized)Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsPrivate institutions of higher educationIndependent school districtsNative American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businesses",National Institutes of Health,"This Funding Opportunity Announcement (FOA) invites research grant applications studying mechanisms of HIV-1 persistence in myeloid cells and strategies to target this reservoir in the central nervous system. Basic and translational research in domestic and international settings are of interest. Multidisciplinary research teams and collaborative alliances  are encouraged but not required. RFA-MH-20-701uses the R01 grant mechanism whileRFA-MH-20-702uses the R21 mechanism. High risk/high payoff projects that lack preliminary data or utilize existing data may be most appropriate for the R21 mechanism, while applicants with preliminary data may wish to apply using the R01 mechanism."
13,Role of Myeloid Cells in Persistence and Eradication of HIV-1 Reservoirs from the Brain (R01 Clinical Trial Not Allowed),RFA-MH-20-701,"Nonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSpecial district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationPublic and State controlled institutions of higher educationSmall businessesOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Native American tribal governments (Federally recognized)Independent school districtsCity or township governmentsCounty governmentsPublic housing authorities/Indian housing authoritiesPrivate institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)For profit organizations other than small businessesState governments",National Institutes of Health,This Funding Opportunity Announcement (FOA) invites research grant applications studying mechanisms of HIV-1 persistence in myeloid cells and strategies to target this reservoir in the central nervous system. Basic and translational research in domestic and international settings are of interest. Multidisciplinary research teams and collaborative alliances  are encouraged but not required.
14,Research on Emerging Technologies for Teaching and Learning (RETTL),20-612,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",National Science Foundation,"The purpose of theResearch on Emerging Technologiesfor Teaching and Learning (RETTL) program is to fund exploratory and synergistic research in emerging technologies (to include, but not limited to, artificial intelligence (AI), robotics, and immersive or augmenting technologies) for teaching and learning in the future. The program accepts proposals that focus on learning, teaching, or a combination of both. The scope of the program is broad, with special interest in diverse learner/educator populations, contexts, and content, including teaching and learning in science, technology, engineering, and mathematics (STEM) and in foundational areas that enable STEM (e.g., self-regulation, literacy, communication, collaboration, creativity, and socio-emotional skills). Research in this program should be informed by the convergence (synthesis) of multiple disciplines: e.g., learning sciences; discipline-based education research; computer and information science and engineering; design; and cognitive, behavioral, and social sciences. Within this broad scope, the program also encourages projects that investigate teaching and learning related to futuristic and highly technological work environments."
15,Investigation of the Transmission of Kaposi Sarcoma-Associated Herpesvirus (KSHV) (R01 Clinical Trial Optional),RFA-CA-20-046,"State governmentsNative American tribal governments (Federally recognized)For profit organizations other than small businessesSpecial district governmentsNonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationSmall businessesPublic housing authorities/Indian housing authoritiesNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationCounty governmentsIndependent school districtsOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)City or township governmentsPublic and State controlled institutions of higher education",National Institutes of Health,"Through this Funding Opportunity Announcement (FOA), the National Cancer Institute (NCI) intends to advance our understanding of: the modes of transmission of Kaposi sarcoma-associated herpesvirus (KSHV), also called human herpesvirus-8 (HHV-8); the biology of the initial steps of infection; and the risk factors for infection. Such studies should inform and advance efforts to reduce or eliminate KSHV transmission and thus prevent Kaposi sarcoma (KS), KSHV-associated multicentric Castleman disease (MCD), primary effusion lymphoma (PEL), and other KSHV-induced diseases in populations living with HIV or at high risk of developing HIV infection."
16,Pediatric and Reproductive Environmental Health Scholars (PREHS): Strengthening the Pipeline (K12 Clinical Trial Not Allowed),RFA-ES-20-007,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationNative American tribal organizations (other than Federally recognized tribal governments)Private institutions of higher educationOthers (see text field entitled ""Additional Information on Eligibility"" for clarification)Special district governmentsSmall businessesPublic housing authorities/Indian housing authoritiesNonprofits that do not have a 501(c)(3) status with the IRS, other than institutions of higher educationCity or township governmentsState governmentsPublic and State controlled institutions of higher educationIndependent school districtsNative American tribal governments (Federally recognized)County governmentsFor profit organizations other than small businesses",National Institutes of Health,"The goal of the Pediatric and Reproductive Environmental Health Scholars (PREHS) program is to create of a strong network of healthcare professionals who possess the skills and knowledge to address the complexities of pediatric and reproductive environmental health. The PREHS program is envisioned as a strategy to bridge clinical training with a career in environmental health research relevant to pediatrics and reproductive health. As such, the PREHS program will provide training in clinical practice in environmental health, community-level advocacy, and teaching to pediatric healthcare providers, obstetricians/gynecologists, nurses, and other interested healthcare professionals, to be known as PREH Scholars. These K12 grant awards will generate well-qualified pediatric and reproductive environmental health leaders."
17,University Student Research Challenge,NNH20ZEA001N-USRC,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",NASA Headquarters,"Amendment 1 to the NASA ARMD Research Opportunities in Aeronautics (ROA–2020) NRA has been posted on the NSPIRES site. University Student Research Challenge (solicitation NNH20ZEA001N-USRC) seeks to challenge students to propose new aeronautics ideas/concepts that are relevant to NASA Aeronautics. USRC will provide students, from accredited U.S. colleges or universities, with grants for their projects and it includes the challenge of raising a modest amount of cost share funds through crowdfunding platform. The process of creating and preparing a crowdfunding campaign acts as a teaching accelerator - requiring students to act like entrepreneurs and taking action. Crowdfunding also raises awareness about students’ research among the public. The solicitation goal can be accomplished through project ideas such as advancing the design, developing technology or capabilities in support of aviation, by demonstrating a novel concept, or enabling advancement of aeronautics-related technologies. Notices of Intent (NOIs) are not required for this solicitation. Three-page proposals for the next USRC cycle are due November 12, 2020. Proposals can also be submitted later and will be evaluated in two additional cycles with due dates: February 25, 2021 and June 24, 2021."
18,Request for Information (RFI): Reducing Environmental Methane Everyday of the Year (REMEDY),DE-FOA-0002419,"Unrestricted (i.e., open to any type of entity above), subject to any clarification in text field entitled ""Additional Information on Eligibility""",Advanced Research Projects Agency Energy ,"Request for Information (RFI): Reducing Environmental Methane Everyday of the Year (REMEDY)

This is a Request for Information only. This RFI is not seeking applications for financial assistance.  The purpose of this RFI is solely to solicit input for ARPA-E consideration to inform the possible formulation of future programs.  To view the entire RFI, please visit https://arpa-e-foa.energy.gov.

The purpose of this RFI is to solicit input for a potential future ARPA-E research program focused on technologies to prevent and/or abate methane emissions. The goal is to reverse the rate of accumulation of methane in the atmosphere, resulting in a decrease in atmospheric methane concentration. ARPA-E is seeking information at this time regarding transformative and implementable technologies that could:
(a)	Prevent methane emissions from anthropogenic activities. Examples include addressing improperly abandoned coal mines and oil and gas wells; plugged oil and gas wells that leak; uncontrolled landfill gas; and agricultural-related emissions from farming and ruminants.  Emphasis will be on preventing energy-related emissions, but ARPA-E is interested in approaches that could be broadly applied which intervene before methane escapes into the atmosphere. 
(b)	Abate methane emissions at the source (stack, vents, leaks, etc.).  Sources may have steady or variable flow rates and/or concentration.  Source temperatures may range from ambient to elevated (i.e. >200 C).  System-level approaches are encouraged (i.e. integrated methane collection/capture, reactor, and monitoring/control system). 
(c)	Remove methane from the air. Examples include approaches which enhance methane oxidation reactions in the troposphere, mineralization (i.e. biological oxidation of methane to CO2) in soils, or recover methane for use as a fuel or chemical reactant.  

Note that some approaches may fit several categories.  For example, biological enhancement of methanotropes could be used to prevent methane emissions from coal mines, abate emissions from leaks, and remove methane from air.  Priority is oxidation of methane to CO2.  Technologies that recover or beneficially use methane will need to show ability to address at least 1 billion standard cubic feet/yr economically.

ARPA-E is interested in processes that reduce methane emissions by >90% on a life-cycle basis.  Inputs, including energy and water, need to be quantified.  The performance metrics for cost  and water inputs  are intended to allow comparison of methane prevention and abatement processes to CO2 control processes.   Performance targets include:
a)	Net greenhouse gas reduction >90% based on a lifecycle analysis, calculated using 100 year greenhouse gas warming potentials for all relevant species.
b)	Freshwater consumption <3 m3/ton CO2 equivalent
c)	No emission of toxic or environmentally harmful substances 
d)	Methane reduction cost $150/ton CO2 equivalent"
19,Announcement for Program Funding for NRCS’ Feral Swine Eradication and Control Pilot Program for Federal fiscal year (FY) 2021,USDA-NRCS-MULTI-FSCP-20-NOFO0001036,"Nonprofits having a 501(c)(3) status with the IRS, other than institutions of higher educationState governmentsSpecial district governmentsSmall businessesCity or township governmentsCounty governmentsNative American tribal governments (Federally recognized)Native American tribal organizations (other than Federally recognized tribal governments)",Natural Resources Conservation Service,"The purpose of the FSCP is to respond to the threat feral swine pose to agriculture, native ecosystems, and human and animal health. Feral swine are a destructive, non-native, invasive species and their populations have been increasing across the United States. An estimated $2 billion in damage, including agricultural, is caused by feral swine each year. The species can have significant negative impacts on plant and animal habitats, soils, water quality, as well as other natural and cultural resources. Livestock and humans are also susceptible to diseases carried by feral swine. The Agriculture Improvement Act of 2018 directs USDA to carry out the pilot program where the Secretary has determined that feral swine have been identified as such a threat. NRCS State Conservationists and APHIS State Directors, in coordination with State technical committees, have identified pilot projects which can be carried out within states with high feral swine densities. States eligible to participate in the second round of FSCP funding include level 3, 4, 5 states as identified by APHIS Wildlife Services base funding levels for feral swine control: Alabama, Arkansas, California, Florida, Georgia, Hawaii, Kentucky, Louisiana, Mississippi, Missouri, North Carolina, Oklahoma, South Carolina, Tennessee, and Texas. Not every eligible state has been approved for new pilot projects in this second round. States that are not advertising for a new pilot project include Arkansas, California, Florida, Georgia, Kentucky, Louisiana, and Tennessee. Pilot projects will consist broadly of three coordinated components: 1) feral swine removal by APHIS, 2) restoration efforts supported by NRCS, and 3) assistance to producers for feral swine control provided through grants with non-federal partners. This call for proposals is intended to address component 3 described above for non-federal partners to provide landowner assistance for on-farm trapping and provide related services as part of the pilot projects described above. Funding for these services will be provided through grant agreements between partners and NRCS.
 
NRCS financial assistance for producers and provided through grants is limited to providing financial assistance for activities that will help landowners control the feral swine population. These activities may include, but are not limited to, outreach, training, equipment, and operations for feral swine trapping that are consistent with APHIS technical standards. Subsequent actions, including disposal, are the responsibility of those carrying out the trapping activities, and must occur consistent with all associated federal, state, and local laws. Funds distributed by NRCS for the FSCP may not be used to provide producer financial assistance for:
 
·      Ground shooting
 
·      Euthanasia (use of barbiturates)
 
·      Aerial gunning
 
·      Drop Nets
 
·      Snares
 
·      Cable Restraints
 
·      Foot Holds
 
·      Relocation
 
·      Frightening devices
 
·      Immobilization
 
·      Reproductive inhibitors
 
·      Toxicants
 
·      Any other state or locally identified prohibited techniques or practices

NRCS is accepting proposals that address the expected partner roles in the identified pilot projects. Additional information about specific pilot projects including target areas and the roles for which partner assistance is being requested can be found here: www.nrcs.usda.gov/fscp 
 "
