,Eligibility,Name,Description,Link,Deadline
10,0,"Grants to USA Nonprofits for Professional Training and 
Education Projects for Those Working ...",Grants to USA nonprofit organizations for professional training and education projects that significantly focus on staff working with persons ages 65 and older. Funding is intended to increase capacity building and expand the skills and knowledge of employees in this s...,https://texas.grantwatch.com//grant/192502/grants-to-usa-nonprofits-for-professional-training-and-education-projects-for-those-working-with-older-adults.html,2002/1/21
11,0,"Grants to USA Nonprofits, Agencies, and Tribes for the Maintenance 
and Conservation of Publi...","Grants of up to $2,500 to USA nonprofit organizations, agencies, educational institutions, and tribes for the maintenance and conservation of publicly accessible nature areas, parks, and green spaces. Funding is intended to address the impact of the Coronavirus (COVID-...",https://texas.grantwatch.com//grant/193329/grants-to-usa-nonprofits-agencies-and-tribes-for-the-maintenance-and-conservation-of-public-lands-during-the-covid-pandemic.html,2012/1/20
12,1,"Grants to USA, Canada, and International Organizations, 
Groups, and Individuals for Archivin...","Grants to USA, Canada, and international organizations, groups, and individuals for archiving projects and projects to benefit the archiving field. Applicants are required to submit an LOI prior to submitting a full proposal. Funding is intended to support archivists i...",https://texas.grantwatch.com//grant/193367/grants-to-usa-canada-and-international-organizations-groups-and-individuals-for-archiving-projects.html,"02/01/21
LOI Date: 12/01/20"
13,1,"Grants to USA Nonprofits, For-Profits, IHEs, and 
Agencies to Strengthen the Quality of STEM ...","Grants to USA nonprofits, for-profits, IHEs, and government agencies to strengthen the quality of STEM education for the general public. Funding is intended for a broad range of projects that provide the public with access to STEM learning. Eligible proposals must demo...",https://texas.grantwatch.com//grant/154919/grants-to-usa-nonprofits-for-profits-ihes-and-agencies-to-strengthen-the-quality-of-stem-education.html,2001/12/21
14,1,"Grants to USA IHEs and Nonprofits for Innovative Scientific
Research and Development Leading ...",Grants to USA nonprofits and IHEs to support scientific research and development that will lead to marketable products or services for the benefit of society. Collaborations of industrial entities with researchers are strongly encouraged. Required registrations may tak...,https://texas.grantwatch.com//grant/175940/grants-to-usa-ihes-and-nonprofits-for-innovative-scientific-research-and-development-leading-to-marketable-products.html,01/13/21
15,0,"Grants to USA Nonprofits, Agencies, Tribal Governments, and 
IHEs for the Translation and Pre...","Grants to USA nonprofit organizations, government agencies, tribal governments, and IHEs for the translation and preparation of humanities texts. The program encourages applications for long-term and short-term editorial projects, as well as projects that are at a plan...",https://texas.grantwatch.com//grant/151063/grants-to-usa-nonprofits-agencies-tribal-governments-and-ihes-for-the-translation-and-preparation-of-humanities-texts.html,2012/2/20
16,0,"Grants to USA Nonprofits, Municipalities, IHEs, and Tribal 
Governments for Joint Research Pr...","Grants to USA nonprofit organizations, municipalities, IHEs, and tribal governments to support coordinated exploration on humanities-related topics. Applicants are advised that required registrations may take several weeks to complete. Funding is intended to produce bo...",https://texas.grantwatch.com//grant/151112/grants-to-usa-nonprofits-municipalities-ihes-and-tribal-governments-for-joint-research-projects-in-the-humanities.html,2012/2/20
17,0,"Grants to USA Nonprofits to 
Support the Performing Arts","Grants to USA nonprofit arts organizations for operating support. Organizations with small budgets are required to contact the funding source prior to submitting a proposal. Funding is intended to support and expand the performing arts, with a particular focus on theat...",https://texas.grantwatch.com//grant/173292/grants-to-usa-nonprofits-to-support-the-performing-arts.html,2012/2/20
18,0,"Grants to USA, Canada, and International Researchers to Advance 
the Prevention and Managemen...","Grants of up to $75,000 to USA, Canada, and International researchers affiliated with institutions for research in the area of canine health. Funding is intended to support innovative research that will make an impact on the prevention or management of medical conditio...",https://texas.grantwatch.com//grant/192754/grants-to-usa-canada-and-international-researchers-to-advance-the-prevention-and-management-of-canine-medical-conditions.html,2012/2/20
19,0,"Cooperative Agreement to a USA Nonprofit, For-Profit, IHE, Foundation, 
or Tribal Entity to I...","Cooperative agreement to a USA nonprofit, for-profit, or faith-based entity, institution of higher education, health research organization, foundation, or tribal entity to improve health services in rural areas. Applicants are advised that required registrations may ta...",https://texas.grantwatch.com//grant/151765/cooperative-agreement-to-a-usa-nonprofit-for-profit-ihe-foundation-or-tribal-entity-to-improve-health-services-in-rural-areas.html,"01/29/21
Conference Date: 12/02/20"
20,0,"Grants to USA Nonprofits, Agencies, and Educational Institutions 
in Multiple States to Prote...","Grants to USA nonprofit organizations, government agencies, tribes, and educational institutions for the restoration and management of longleaf pine ecosystems in eligible states. The purpose of this program is to enhance and expand management and restoration efforts a...",https://texas.grantwatch.com//grant/178352/grants-to-usa-nonprofits-agencies-and-educational-institutions-in-multiple-states-to-protect-and-restore-pine-ecosystems.html,"02/04/21
Conference Date: 12/02/20"
21,0,"Grants to USA Nonprofits, Agencies, and IHEs
to Preserve Significant Humanities Resources","Grants of up to $15,000 to USA nonprofit organizations, IHEs, Tribes, and government agencies to enhance the care and conservation of noteworthy humanities collections. Funding is intended to help institutions focused on the humanities such as museums, libraries, histo...",https://texas.grantwatch.com//grant/181003/grants-to-usa-nonprofits-agencies-and-ihes-to-preserve-significant-humanities-resources.html,"01/14/21
Conference Date: 12/02/20"
22,1,"Grants to USA Nonprofit Organizations for Programs
to Benefit Low-Income Individuals and Comm...","Grants to USA nonprofits for programs to significantly assist individuals and communities impacted by poverty, particularly in the wake of the Coronavirus (COVID-19) pandemic. Funding is intended for activities focused on education at all levels, economic development, ...",https://texas.grantwatch.com//grant/186610/grants-to-usa-nonprofit-organizations-for-programs-to-benefit-low-income-individuals-and-communities.html,"01/04/21
Conference Date: 12/02/20"
23,0,"Grants and Cooperative Agreements to USA Watershed Groups 
in Multiple States to Manage and P...","Grants and cooperative agreements to USA watershed groups in multiple states and territories for projects to manage and protect natural resources. Required registrations must be completed prior to submitting an application. Eligible applicants are located in Alaska, Ar...",https://texas.grantwatch.com//grant/193418/grants-and-cooperative-agreements-to-usa-watershed-groups-in-multiple-states-to-manage-and-protect-natural-resources.html,"01/19/21
Conference Date: 12/02/20"
24,1,"Grants to USA Nonprofit Theater Companies for 
Performances and Educational Activities for Yo...","Grants of $25,000 to USA nonprofit theater companies for performances and educational activities for high school and middle school students. Applicants must submit an intent to apply prior to submitting an application. Funding is intended to support professional produc...",https://texas.grantwatch.com//grant/165844/grants-to-usa-nonprofit-theater-companies-for-performances-and-educational-activities-for-youth.html,"02/10/21
LOI Date: 12/03/20"
25,0,"Grants to USA Nonprofit Theaters and Organizations 
for Educational Programs for Juvenile Off...","Grants of up to $25,000 to USA nonprofit organizations and theater companies to provide Shakespeare and theater education programs to juvenile offenders. Applicants must submit an intent to apply prior to submitting an application. Applicants are advised that required ...",https://texas.grantwatch.com//grant/187243/grants-to-usa-nonprofit-theaters-and-organizations-for-educational-programs-for-juvenile-offenders.html,"02/10/21
LOI Date: 12/03/20"
26,0,"Grants to USA Nonprofits, Agencies, Tribes, 
and IHEs to Preserve Materials and Collections","Grants to USA nonprofit organizations, agencies, tribes, and IHEs for preservation projects to protect significant materials and collections. Applicants are advised that the required pre-application registrations may take up to one month to complete. The purpose of the...",https://texas.grantwatch.com//grant/151066/grants-to-usa-nonprofits-agencies-tribes-and-ihes-to-preserve-materials-and-collections.html,"01/14/21
Conference Date: 12/03/20"
27,0,"Grants to USA Nonprofits to Support Service for 
Bereaved Youth During the Coronavirus Crisis",Grants to USA nonprofit organizations to support bereaved youth and their families during the Coronavirus (COVID-19) pandemic. Funding is intended to cover general operating expenses for organizations that provide bereavement services to children under the age of 25. P...,https://texas.grantwatch.com//grant/173693/grants-to-usa-nonprofits-to-support-service-for-bereaved-youth-during-the-coronavirus-crisis.html,"12/21/20
Conference Date: 12/03/20"
28,1,"Grants to USA IHEs to Enhance Undergraduate 
STEM Programs for Minority Populations",Grants to USA Hispanic-serving IHEs for projects that enhance undergraduate education for Hispanic populations in STEM disciplines. Funding is intended to increase the number of students studying and graduating with majors or minors in STEM fields to increase their pre...,https://texas.grantwatch.com//grant/182939/grants-to-usa-ihes-to-enhance-undergraduate-stem-programs-for-minority-populations.html,"01/13/21
Conference Date: 12/03/20"
29,1,"In-Kind Resources to USA Schools and School Districts 
to Implement an Online STEM Gaming Sys...","In-kind resources valued at up to $15,000 to USA and territories schools and school districts to promote innovative and stimulating STEM learning programs for students. The purpose of the program is to provide schools with resources to develop an online computer gaming...",https://texas.grantwatch.com//grant/193384/in-kind-resources-to-usa-schools-and-school-districts-to-implement-an-online-stem-gaming-system.html,"12/18/20
Conference Date: 12/03/20"
30,1,"Grants and In-Kind Support to Louisiana and Texas 
Nonprofits to Enhance the Quality of Life ...","Grants and in-kind support to Louisiana and Texas nonprofit organizations in eligible areas to enhance the lives of local residents. Focus areas include health, education, and hunger. Eligible applicants are organizations involved in the areas of arts and culture, comm...",https://texas.grantwatch.com//grant/148913/grants-and-in-kind-support-to-louisiana-and-texas-nonprofits-to-enhance-the-quality-of-life-for-local-residents.html,2012/4/20
31,0,"Grants to USA Agricultural Professionals in Multiple 
States for Farm-Based Sustainability Re...","Grants of up to $20,000 to USA agricultural professionals who work with farmers and ranchers in multiple states and territories for farm-based research and marketing projects addressing sustainable agriculture. Grants emphasize building relationships between the farmer...",https://texas.grantwatch.com//grant/162412/grants-to-usa-agricultural-professionals-in-multiple-states-for-farm-based-sustainability-research.html,2012/4/20
32,0,"Grants to USA Nonprofits and Tribal Governments 
to Promote Justice and Liberation",Grants to USA nonprofit organizations and tribal governments to support activities that promote justice and liberation. Applicants seeking multi-year grants must contact program staff prior to applying. Funding is intended for organizations that are actively responding...,https://texas.grantwatch.com//grant/163181/grants-to-usa-nonprofits-and-tribal-governments-to-promote-justice-and-liberation.html,2012/4/20
33,0,"Grants to USA, Canada, and International Nonprofits 
to Promote the Scholarly Analysis of Ame...","Grants of up to $25,000 to USA, Canada, and International nonprofit organizations for projects that encourage international scholarship related to American art topics. Applicants must submit an LOI prior to submitting a full application. Funds will also support scholar...",https://texas.grantwatch.com//grant/166917/grants-to-usa-canada-and-international-nonprofits-to-promote-the-scholarly-analysis-of-american-art.html,"02/15/21
LOI Date: 12/04/20"
34,0,"Grants to USA Nonprofits and IHEs for 
Scholarship and Research on Public Policy","Grants to USA nonprofit organizations and universities for scholarly research on public policy issues that impact on the personal and economic liberties of the nation's citizens. Funding is intended to support scholarship that leads to the publication of policy papers,...",https://texas.grantwatch.com//grant/170643/grants-to-usa-nonprofits-and-ihes-for-scholarship-and-research-on-public-policy.html,2012/4/20
35,0,"Awards to USA and Canada IHE Libraries in Recognition 
of Outstanding and Collaborative Libra...",Awards to USA and Canada academic libraries in recognition of the collaborative efforts of personnel to serve their communities in creative and innovative ways. The award is intended to honor the staff who display leadership in programming and work together to uphold t...,https://texas.grantwatch.com//grant/174849/awards-to-usa-and-canada-ihe-libraries-in-recognition-of-outstanding-and-collaborative-library-staff.html,2012/4/20
36,1,"Grants to USA Nonprofits for Training Programs in 
Maintenance and Restoration of Collector V...",Grants to USA nonprofit organizations for hands-on educational programs that teach young people about vehicle and boat restoration. Priority will be given to programs that focus on high school and college-age students. Funding is intended to teach the specialized skill...,https://texas.grantwatch.com//grant/178548/grants-to-usa-nonprofits-for-training-programs-in-maintenance-and-restoration-of-collector-vehicles-and-boats.html,2012/4/20
37,0,"Grants to USA and International Investigators at Medical, Academic, 
or Research Institutions...","Grants to USA and International investigators at medical, academic, or research institutions for pediatric cancer research. Applicants must submit an LOI prior to submitting a full application. Funding is intended for investigation into the prevention, cause, treatment...",https://texas.grantwatch.com//grant/187402/grants-to-usa-and-international-investigators-at-medical-academic-or-research-institutions-for-pediatric-cancer-research.html,"02/19/21
LOI Date: 12/04/20"
38,0,"Grants to USA, Canada, and International IHEs 
to Develop and Offer Holocaust-Related Courses","Grants of up to $4,000 to USA, Canada, and International institutions of higher education to develop and offer courses related to the Holocaust. Funding may also be used to improve an institution's Holocaust resources.  Proposals at colleges and universities where cour...",https://texas.grantwatch.com//grant/179479/grants-to-usa-canada-and-international-ihes-to-develop-and-offer-holocaust-related-courses.html,2012/6/20
39,0,"Grants to USA and Canada Nonprofits and Institutions to Benefit
Individuals Affected by Spina...","Grants of up to $50,000 to USA and Canada nonprofit organizations, institutions, and associations for projects to benefit and serve individuals affected by spinal cord diseases and injuries, including veterans. Funding is intended for projects that have the potential t...",https://texas.grantwatch.com//grant/176906/grants-to-usa-and-canada-nonprofits-and-institutions-to-benefit-individuals-affected-by-spinal-cord-injury-and-disease.html,2012/7/20
40,0,"In-Kind Grants to USA Public and Nonprofit Health 
Care Providers for Telehealth Services for...",In-kind grants to USA public and nonprofit health care providers for telehealth services for participating patients. Priority is given to projects that benefit veterans and low-income populations. Applicants are advised that required registrations may take several week...,https://texas.grantwatch.com//grant/193163/in-kind-grants-to-usa-public-and-nonprofit-health-care-providers-for-telehealth-services-for-patients.html,2012/7/20
41,0,"Grants to USA Health and Nursing Centers, Hospitals, Nursing Schools, and 
Nonprofits to Prov...","Grants to USA and territories health and nursing centers and clinics, hospitals, nursing schools, nonprofit organizations, CBOs, faith-based organizations, and Tribal entities to provide improved care and services for survivors of assault. Applicants are advised that r...",https://texas.grantwatch.com//grant/193424/grants-to-usa-health-and-nursing-centers-hospitals-nursing-schools-and-nonprofits-to-provide-improved-care-and-services-for-survivors-of-assault.html,"02/17/21
Conference Date: 12/07/20"
42,0,"Grants and Fellowship to USA, Canada, and International
Researchers for Research on Auditory ...","Grants of up to $60,000 and a fellowship of up to $40,000 per year to USA, Canada, and International investigators and scientists at academic, medical, or research institutions for research related to central auditory processing disorder (CAPD). Applicants must submit ...",https://texas.grantwatch.com//grant/183036/grants-and-fellowship-to-usa-canada-and-international-researchers-for-research-on-auditory-processing-disorders.html,"02/10/21
LOI Date: 12/08/20"
43,0,"Grants to USA Investigators at Nonprofits, IHEs, For-Profits, and 
Agencies for Clinical Tria...","Grants to USA and territories principal investigators affiliated with nonprofits, IHEs, for-profits, local, state, and Tribal governments, school districts, and organizations for research projects on tobacco regulations. Required registrations may take several weeks to...",https://texas.grantwatch.com//grant/183688/grants-to-usa-investigators-at-nonprofits-ihes-for-profits-and-agencies-for-clinical-trial-research-on-tobacco-regulations.html,"02/08/21
LOI Date: 12/08/20"
44,0,"Grants to USA Agencies, Tribal Governments, Educational 
Institutions, and Nonprofits to Pres...","Grants to USA agencies, tribal governments, educational institutions, and nonprofit organizations to plan, interpret, and protect the locations of historic American battles. Applicants are advised that required registrations may take several weeks to finalize. Funding ...",https://texas.grantwatch.com//grant/148843/grants-to-usa-agencies-tribal-governments-educational-institutions-and-nonprofits-to-preserve-eligible-historic-sites.html,"02/12/21
Conference Date: 12/08/20"
45,0,"Grants to USA States to Improve Health 
Care Services in Eligible Areas","Grants to USA states to improve health care services in eligible areas throughout the country. Applicants are advised that required registrations may take up to one month to complete. In addition to improvements to health infrastructure, funding may be used for activit...",https://texas.grantwatch.com//grant/193500/grants-to-usa-states-to-improve-health-care-services-in-eligible-areas.html,"02/01/21
Conference Date: 12/08/20"
46,1,"Grants to USA and Israeli Scientists at Nonprofit 
Institutions for Collaborative Scientific ...","Grants to USA and Israeli scientists affiliated with nonprofit organizations, including IHEs, government research institutions, and hospitals to carry out cooperative research across a broad range of scientific disciplines. Funding is intended to support research proje...",https://texas.grantwatch.com//grant/176058/grants-to-usa-and-israeli-scientists-at-nonprofit-institutions-for-collaborative-scientific-research.html,2012/9/20
47,0,"Grants to Texas, New Mexico, and Mexico Nonprofits and Agencies 
in Eligible Regions for Prog...","Grants to Texas, New Mexico, and Mexico nonprofit organizations, governmental agencies, and churches in eligible regions for programs that advance the health and wellness of local residents. Applicants are required to submit a letter of intent prior to submitting a ful...",https://texas.grantwatch.com//grant/179040/grants-to-texas-new-mexico-and-mexico-nonprofits-and-agencies-in-eligible-regions-for-programs-to-promote-health-and-wellness.html,"02/17/21
LOI Date: 12/09/20"
48,0,"Cooperative Agreements to USA Nonprofits, State and Local 
Governments, and IHEs to Assess En...","Cooperative agreements to USA nonprofit organizations, state and local governments, and IHEs for a pilot project to verify the effectiveness of health, safety, and energy procedures in lower-income households. Applicants are advised that required registrations may take...",https://texas.grantwatch.com//grant/192318/cooperative-agreements-to-usa-nonprofits-state-and-local-governments-and-ihes-to-assess-energy-and-safety-programs.html,2012/9/20
49,0,"Grants to USA, Canada, and International 
Researchers to Research Cardiac Disorders in Dogs","Grants of up to $50,000 to USA, Canada, and International investigators affiliated with institutions for research projects that advance canine health. Funding is intended to support research focused on cardiac disorders in dogs. Eligible projects must further the scien...",https://texas.grantwatch.com//grant/192833/grants-to-usa-canada-and-international-researchers-to-research-cardiac-disorders-in-dogs.html,2012/9/20
50,0,"In-Kind Services to USA Healthcare Providers
for Broadband and Connectivity Needs","In-kind services to USA nonprofit healthcare centers, medical schools, local health departments and agencies, hospitals, and consortia to improve internet connectivity and enhance the delivery of services. Funding is intended to increase the efficiency of health-relate...",https://texas.grantwatch.com//grant/154159/in-kind-services-to-usa-healthcare-providers-for-broadband-and-connectivity-needs.html,2004/1/21
51,0,"In-Kind Services to USA Nonprofit Health Centers 
for Improved Communications Technology","In-kind services to USA nonprofit healthcare centers, medical schools, local health departments and agencies, hospitals, and consortia to improve and upgrade communications technology. Funding is intended to support health service providers and improve their ability to...",https://texas.grantwatch.com//grant/185138/in-kind-services-to-usa-nonprofit-health-centers-for-improved-communications-technology.html,2004/1/21
52,0,"Grants to USA, Canada, and International Nonprofits, 
Agencies, For-Profits, and IHEs for Air...","Grants to USA, Canada, and International nonprofit organizations, government agencies, for-profit organizations, and educational organizations for air quality research. Applicants must submit a preliminary application before applying in full. Funding is intended for re...",https://texas.grantwatch.com//grant/188026/grants-to-usa-canada-and-international-nonprofits-agencies-for-profits-and-ihes-for-air-quality-research.html,2001/6/21
53,0,"Grants to USA State, Local, and Tribal Agencies, IHEs, Farming 
Cooperatives, and Agricultura...","Grants to USA and Territories state, local, and tribal agencies, IHEs, farming cooperatives, and agricultural producers for environmental projects. Applicants are advised that required registrations may take several weeks to complete. Funding is intended for a range of...",https://texas.grantwatch.com//grant/144030/grants-to-usa-state-local-and-tribal-agencies-ihes-farming-cooperatives-and-agricultural-producers-for-environmental-projects.html,11/30/20
54,1,"Grants to USA Nonprofits to 
Benefit Jewish Women and Girls","Grants to USA nonprofit organizations in eligible locations for social change initiatives. Funding is intended to benefit Jewish women and girls. Focus areas include education, economic empowerment, advocacy, social justice, and violence prevention. Programs serving wo...",https://texas.grantwatch.com//grant/176953/grants-to-usa-nonprofits-to-benefit-jewish-women-and-girls.html,12/31/20
55,0,"Grants to USA For-Profits and Nonprofits to Improve the Delivery 
of Social and Health Servic...",Grants to USA and territories for-profit and nonprofit entities to improve the delivery of social and health services to underserved populations. Applicants are advised that required registrations may take up to one month to complete. Funding is intended to promote rur...,https://texas.grantwatch.com//grant/147402/grants-to-usa-for-profits-and-nonprofits-to-improve-the-delivery-of-social-and-health-services-to-underserved-populations.html,2012/8/20
56,1,"Grants to USA Nonprofits, For-Profits, Agencies, and 
Tribes to Expand Internet Services in R...","Grants to USA nonprofit and for-profit organizations, government agencies, and tribal entities to increase the availability of internet services in rural communities throughout the country. Applicants are advised that required registrations must be completed prior to a...",https://texas.grantwatch.com//grant/179033/grants-to-usa-nonprofits-for-profits-agencies-and-tribes-to-expand-internet-services-in-rural-areas.html,12/23/20
57,0,"Grants to USA Agencies and Nonprofits to Address 
Social Justice and Inequity in the Health F...",Grants to USA and Territories public agencies and nonprofit organizations to address social justice and inequity in the health field. Applicants are required to submit a letter of intent prior to a full application. The program is intended to gather evidence about raci...,https://texas.grantwatch.com//grant/192794/grants-to-usa-agencies-and-nonprofits-to-address-social-justice-and-inequity-in-the-health-field.html,"04/07/21
LOI Date: 11/24/20"
58,0,"Grants and In-Kind Support to USA Rural and Small 
Community Libraries to Address Community I...","Grants of $3,000 and in-kind support to USA libraries in small and rural communities to address community issues, including the Coronavirus. The goal of the program is to prepare library workers for the expanding role of libraries. Funding is intended to assist librari...",https://texas.grantwatch.com//grant/140272/grants-and-in-kind-support-to-usa-rural-and-small-community-libraries-to-address-community-issues.html,2012/2/20
59,0,"Cooperative Agreement with a USA Nonprofit, IHE, Tribe, Agency,
or Hospital for Research in N...","Cooperative agreement with a USA nonprofit, IHE, Tribe, agency, or hospital for research in health and human services as related to non-urban communities across the nation. Applicants are advised that required registrations may take up to a month to complete. Research ...",https://texas.grantwatch.com//grant/175683/cooperative-agreement-with-a-usa-nonprofit-ihe-tribe-agency-or-hospital-for-research-in-non-urban-health-and-human-services.html,12/14/20
60,0,"Grants to USA Higher Education Institutions for 
the Training of Behavioral Health Profession...",Grants to USA and territories IHE medical certification programs to expand and develop the behavioral health workforce. Applicants are advised that required registrations may take several weeks to complete. Funding is intended to provide patients with greater access to...,https://texas.grantwatch.com//grant/142815/grants-to-usa-higher-education-institutions-for-the-training-of-behavioral-health-professionals.html,01/21/21
61,0,"Grants to USA IHEs to Promote 
Diversity in Health Care",Grants to USA institutions of higher education to promote diversity in public health and health care. Applicants are advised that required registrations may take up to one month to complete. Funding is intended to encourage students from underserved or underrepresented...,https://texas.grantwatch.com//grant/192722/grants-to-usa-ihes-to-promote-diversity-in-health-care.html,2001/7/21
62,1,"Competition for USA IHEs, Tribes, Agencies, and Nonprofits
to Develop Solutions to Sustain th...","Competition for USA IHEs, Tribes, agencies, and nonprofits to develop creative and/or technological solutions to keep businesses functional during the COVID-19 (Coronavirus) health crisis. Applicants are advised that required registrations may take several weeks to com...",https://texas.grantwatch.com//grant/192866/competition-for-usa-ihes-tribes-agencies-and-nonprofits-to-develop-solutions-to-sustain-the-economy-during-covid-.html,2012/3/20
63,0,"Grants to USA, Canada, and International Academic Centers
to Support a Fellowship Program Rel...","Grants to USA, Canada, and International academic centers to support a fellowship program for neurologists. Grant funds may be used for fellows' stipends, benefits, and travel. Fellowships are intended to increase the number of trained specialists in the area of Parkin...",https://texas.grantwatch.com//grant/192610/grants-to-usa-canada-and-international-academic-centers-to-support-a-fellowship-program-related-to-movement-disorders.html,2012/10/20
64,1,"Grant to a USA IHE to Provide Advanced 
Research Experience and Training",Grant to a USA public or private institution of higher education to provide research training to eligible individuals. Applicants are advised that required registrations may take up to several days to complete. Funding is intended for programs related to disability and...,https://texas.grantwatch.com//grant/187432/grant-to-a-usa-ihe-to-provide-advanced-research-experience-and-training.html,12/18/20
65,1,"Grant to a USA IHE to Train 
Researchers in Eligible Disciplines",Grant to a USA institution of higher education for research training programs in eligible disciplines. Applicants are advised that required registrations may take up to several days to complete. Funding is intended to support projects that offer PhDs and other qualifie...,https://texas.grantwatch.com//grant/187618/grant-to-a-usa-ihe-to-train-researchers-in-eligible-disciplines.html,12/18/20
66,1,"Grant to a USA IHE for Programs to Provide 
Research Experience and Training",Grant to a USA private or public institution of higher education to provide research experience and training to eligible individuals. Applicants are advised that required registrations may take up to several days to complete. Funding is intended for programs for rehabi...,https://texas.grantwatch.com//grant/187630/grant-to-a-usa-ihe-for-programs-to-provide-research-experience-and-training.html,12/18/20
67,0,"Grants to USA, Canada, and International IHEs, Agencies,
Nonprofits, and For-Profits for Phar...","Grants to USA, Canada, and International IHEs, agencies, nonprofits, and for-profits for research projects relating to the use of pharmaceuticals in children and pregnant women. Applicants are advised that required registrations may take several weeks to complete. Fund...",https://texas.grantwatch.com//grant/192419/grants-to-usa-canada-and-international-ihes-agencies-nonprofits-and-for-profits-for-pharmaceutical-research.html,2012/10/20
68,0,"Grants to USA, Canada, and International Agencies, For-Profits,
IHEs, and Nonprofits for Expl...","Grants to USA, Canada, and International agencies, for-profits, IHEs, and nonprofits for new research to develop better pharmaceuticals for children and pregnant women. Applicants are advised that required registrations may take several weeks to complete. Funding is in...",https://texas.grantwatch.com//grant/192420/grants-to-usa-canada-and-international-agencies-for-profits-ihes-and-nonprofits-for-exploratory-biomedical-research.html,2012/10/20
