Name,Description,Deadline,Application_url,Eligibility
The Standard Charitable Foundation Grants,"The Standard mission is to build communities and make positive impact by supporting programs that focus on health, disability and empowerment, cultural development, and educational advancement. The Standard believes that “the future health and well-being of our communities is in the hands of children, who are the workers, innovators, leaders and artists of the future.” To that end, the Foundation funds projects that equip children to lead successful, productive lives, focusing particularly on early childhood education and workforce development. Deadline: Rolling.",Deadline: Rolling,https://www.standard.com/individual/about/community,1
Voya Foundation Education Grants,"The Voya Foundation wants to empower youth by preparing them for a lifetime of financial stability and resilience and is offering grants to nonprofit organizations that promote the skills necessary for young people to compete in a 21st century workforce. The Foundation accepts proposals in two categories: organizations that promote early interest in STEM fields and offer innovative, exciting K-8 STEM opportunities, and organizations that provide financial literacy curricula to high school students, including topics such as student debt, credit, home ownership, and family needs. Deadline: Rolling.",Deadline: Rolling,http://corporate.voya.com/corporate-responsibility/investing-communities/voya-foundation-grants,1
Kars4Kids Small Grants,"Kars4Kids funds educational, developmental, and recognized programs for youth and their families. The foundation supports educational programming, school placement, tuition assistance, mentorship programs, cultural activities, weekend retreats, religious instruction, summer camps, recreation, and guidance counseling. Previous grants were used to fund Big Brothers Big Sisters of America, Companies to Classrooms, and St. Jude Children’s Research Hospital. Deadline: Rolling",Deadline: Rolling,http://www.kars4kidsgrants.org/,0
The Harry Chapin Foundation Education Grant,"The mission of the Harry Chapin Foundation is to support organizations that have demonstrated their ability to dramatically improve the lives and livelihood of people by helping them to become self-sufficient. The foundation focuses its grant making on community education programs, arts-in-education programs, and agricultural and environmental programs. Deadline: Rolling.",Deadline: Rolling,http://harrychapinfoundation.org/apply/,1
International Game Technology After School Advantage Program,The After School Advantage (ASA) Program strives to close the “Digital Divide” for disadvantaged children who do not have the means to access computers in today’s increasingly digital society. Its goal is to address the needs of underprivileged/at-risk children ages 5 to 18 with a meaningful yet fun learning experience during the critical afterschool hours in a safe environment. It does this by providing qualifying nonprofit community agencies and public schools with digital learning centers. Each digital learning center is unique in its design and specific to an organization’s custom needs. Deadline: Rolling.,Deadline: Rolling,https://www.igt.com/explore-igt/about-igt/global-responsibility/supporting-our-communities/after-school-advantage-program,0
Johnson Scholarship Foundation Grants,"The Johnson Scholarship Foundation makes grants through selected institutions that achieve its mission of assisting disadvantaged people to obtain education in order to become more independent and participate more fully in society. The foundation funds scholarship and other education programs that serve people in need of financial support. Programming is particularly focused on indigenous peoples, people with disabilities, and people who are socially and economically disadvantaged. Employment through education should be the ultimate goal.. Deadline: Rolling.",Deadline: Rolling,http://www.jsf.bz/apply.html,0
Ronald W. Burkle Foundation Education Grants,"The Ronald W. Burkle Foundation makes grants to programs that engage children in learning, advance scientific research, strengthen international understanding, foster worker’s rights, empowers underserved communities, and nurture the arts and architecture. Previous grants were used to fund youth outreach programs, health education projects for children and youth, teaching and mentoring programs for underserved children, and youth arts and athletic programs. Deadline: Rolling.",Deadline: Rolling,http://burklefoundation.com/request-a-grant/,0
Boeing Company Charitable Trust Education Grants,"Boeing intends to help students gain fundamental 21st century skills relevant to science, technology, engineering, and mathematics (STEM), such as the ability to think critically and solve problems, collaborate well, be creative, and communicate effectively.Boeing funds programs that improve the preparation of early caregivers and drive public awareness of the importance of early education. Boeing also supports school and teacher leadership programs that support educators in shifting their practices so that they are equipped to create learning environments that allow students to practice and acquire twenty-first century skills. Finally, Boeing funds problem-based learning opportunities related to STEM experiences and skills for students and their families. Deadline: Based upon location.",Deadline: Based upon location,http://www.boeing.com/principles/community-engagement.page#/education,0
The Lisa Libraries Book Donations,"The Lisa Libraries donates new children's books and small libraries to organizations that work with children in poor and underserved areas. Some of the libraries established have been at daycare centers, visiting areas in prisons for children of incarcerated parents, and afterschool programs. The Lisa Libraries has a strong interest in supporting small, grass-roots organizations. Organizations can write to The Lisa Libraries and include the following: information about the program, the number of children served, age range of children served, information about the socioeconomic status of the community served by the applicant organization (such as eligibility statistics for Title I and Federal School Lunch Program), and a breakdown of how the books would be used. Deadline: Rolling",Deadline: Rolling,http://www.lisalibraries.org/,0
The Home Depot Foundation’s Community Impact Grants,"In an effort to recognize the importance of local volunteers working to improve the physical health of their community, The Home Depot Foundation offers Community Impact Grants for repairs, refurbishments, weatherization, and modifications to low-income housing or community facilities, such as schools, community centers, or senior centers; and increasing energy-efficiency in these facilities. Projects that serve veterans and their families, either through repairing homes or improving a facility, or projects the involve veterans volunteering to help other veterans are considered. Deadline: Rolling.",Deadline: Rolling,http://homedepotfoundation.org/page/applying-for-a-grant,0
WaysToHelp.org’s Community Service Grants,"WaysToHelp.org invites high school students no older than 19 years old (on the day they apply) in the United States to apply for grants to fund their community service ideas across any one of 16 issue areas in four categories: The Environment: global warming, clean water, land preservation, and recycling; Democracy and Equality: education and development, gender equality, homelessness and poverty, and financial well-being; Health: HIV/AIDS, cancer/smoking, organ and blood donation, and general fitness; Community Issues: drug/alcohol abuse, crime prevention, animal welfare, and senior care. Applicants should summarize in 5,000 characters or less how the project will involve others, who it will help, what effect it is expected to have, when it will start, and how the funds will be used. Deadline: Rolling.",Deadline: Rolling,http://waystohelp.org/grants.php,0
First Book’s Children’s Book Donations and Grants,"First Book offers free and inexpensive children’s books and educational resources to schools and programs that serve children in need from birth to age 18. First Book partners with publishers to provide a large array of new, age-appropriate children’s books, including picture books, chapter books, and novels. Eligible participants include schools, early childhood programs, libraries and museums, out-of-school time programs, faith-based organizations, and more, provided at least 70 percent of the children served are from low-income families. Deadline: Rolling.",Deadline: Rolling.,https://www.fbmarketplace.org/register/,0
Rebuilding Libraries Affected by 2017 Natural Disasters,"After the devastation of Hurricanes Harvey, Irma, and Maria, as well as the California wildfires, the Laura Bush Foundation for America’s Libraries is dedicating their resources to help disaster-affected schools rebuild book collections. To be eligible, the applying school must have sustained damage to the library during Hurricane Harvey, Irma, Maria or the California wildfires. Deadline: Rolling.",Deadline: Rolling,http://www.laurabushfoundation.com/how-to-apply/index.html,0
SC Johnson’s Education Grants,"SC Johnson foundation makes grants in the areas of arts, culture, and humanities; community and economic development; education; health and wellness; social services; and environment and sustainability. Education Grants include support for programs that emphasize student academic achievement, with a focus on academic enrichment and advancement, early childhood, and kindergarten through grade 12 education; postsecondary institutions; and technical and vocational schools. Deadline: Rolling.",Deadline: Rolling,http://www.scjohnson.com/en/commitment/socialresponsibility/philanthropy/ApplyingForGrants.aspx,1
DiscoverE Collaboration Grants Overview,"The DiscoverE Collaboration Grant program wants to facilitate collaboration within the engineering community and engage youth, particularly underserved K-12 students, with hands-on learning experiences and events that inspire an interest and understanding of engineering. Five $1000 grants are available to help fund programs that are led by a diverse team of at least three partnering organizations. College students, working engineers, educators, and volunteers are eligible. Deadline: Rolling",Deadline: Rolling,http://www.discovere.org/about-us/outreach-grants/collaboration-grants,0
Michael & Susan Dell Foundation Grants,"The Michael & Susan Dell Foundation provides grants ranging from $500 to several million dollars to organizations working hard to improve the lives of urban children living in poverty. The foundation accepts proposals for specific areas within the education, family economic stability, and childhood health sectors. Programs must be able to demonstrate their progress toward helping children achieve their full potential through measurable data relevant to their problem statement. Deadline: Rolling.",Deadline: Rolling,https://www.msdf.org/apply/,0
Scholarship America’s Hurricane Harvey Disaster Relief,"Scholarship America’s National Disaster Relief Fund will award grants to postsecondary schools to help students whose education was adversely affected by Hurricane Harvey and Tropical Storm Harvey in August, 2017. Grants should be used by the postsecondary school to supplement the financial aid packages of students who have experienced financial hardship related to the defined weather events. Deadline: Rolling.",Deadline: Rolling,https://www.scholarsapply.org/disasterrelief/,0
Youth Philanthropy Council,"The Community Ridge of the Central Blue Ridge created the Youth Philanthropy Council in 2008 to introduce teens to the importance of philanthropy in their community and in their lives. Members explore the pressing needs of the community and determine their shared philanthropic priorities, awarding grants to nonprofit organizations. Past recipients included several organizations serving children and youth in various capacities. Deadline: Rolling.",Deadline: Rolling,http://cfcbr.org/youth-philanthropy-council/,1
Chef Ann Foundation and Healthy Skoop’s Project Produce: Fruit and Veggie Grants for Schools,"The Chef Ann Foundation and Healthy Skoop have teamed up to launch Project Produce: Fruit and Veggie Grants for Schools. These $2,500 grants will help schools increase kids’ access to fresh fruits and veggies and nutrition education. Proposed projects must be planned with the intention of offering activities to all students in the school building. Deadline: Rolling.",Deadline: Rolling,http://www.chefannfoundation.org/programs-and-grants/project-produce,0
Webb Family Foundation Education and Youth Grants,"The Webb Family Foundation supports programs and projects that target underserved children and youth and provides grants related to education, youth development, career and workforce readiness, financial literacy, entrepreneurship, STEM, digital and blended learning, and youth mentorship. Recent grants have funded a college success program and support of charter schools working to close the achievement gap for low-income students. Deadline: Rolling.",Deadline: Rolling.,http://webbfamilyfoundation.org/learn-how-to-apply/learn,1
The Victor C. Clark Youth Incentive Program,The Victor C. Clark Youth Incentive Program supports programs and projects for youth that enrich the experience of radio amateurs under the age of 18. Mini-grants are made for the following types of projects: securing equipment for antennas for club stations,Deadline: Rolling,http://www.arrl.org/the-victor-c-clark-youth-incentive-program,0
Emeril Lagasse Foundation Youth Education Grants,"The Emeril Lagasse Foundation provides grants related to nutrition and culinary education, life skills development, childhood hunger, and arts education. The grant-making focus is on mentorship and opening employment opportunities for underserved, undereducated, and at-risk youth; healthy living through nutrition; access to nutritious food for at-risk children; and creative teaching in and out of school. Eligible applicants are nonprofit 501(c)(3) organizations and kindergarten through grade 12 schools. Deadline: Rolling.",Deadline: Rolling.  ,http://www.emeril.org/who-we-support,0
The TBA Credit Union,"The TBA Credit Union is looking for Michigan applicants for classroom improvement grants that support teachers in funding projects and programs that are in jeopardy due to school district budget cuts, such as providing and supporting new textbooks and technology. Deadline: Rolling.",Deadline: Rolling.,https://www.tbacu.com/resources/classroom-improvement-grants/,0
Hearst Foundations Grant,"The Hearst Foundations fund organization that address a variety of issues, including culture, health, social service, and education. For the education focus, they look for institutional educations that demonstrate “uncommon success in preparing students to thrive in a global society.” They also also look for cultural institutions with arts and science programs that engage young people and “create a lasting and measurable impact.” Deadline: Rolling.",Deadline: Rolling,https://www.hearstfdn.org/applying-reporting/how-to-apply/,1
American Airlines Giving Grant,"American Airlines is seeking applications from nonprofits whose mission helps children, military service members, and those affected by unexpected adversity. The support is given in the airline’s hub cities, which can be found online. American Airlines provides donations, volunteerism, and cash support. Deadline: Rolling.",Deadline: Rolling,http://hub.aapubs.com/en/ju/support,0
National Education Foundation,"The National Education Foundation, the national leader of STEM education, is looking to supply funding for school districts with a rate of 35 percent of students or higher who qualify for free or reduce-cost lunch. Deadline: Rolling.",Deadline: Rolling.,http://www.qzab.org/,0
The Charles Lafitte Foundation’s Education Grants,"The Charles Lafitte Foundation (CLF) supports organizations working in four main areas: education, children’s advocacy, medical research and initiatives, and the arts. It supports programs that aid students with learning disabilities; target at-risk populations and integrate all learners; provide equal access; offer quality programming using innovative methods; apply data-driven approaches; and educate the whole child. Deadline: Rolling.",Deadline: Rolling,http://charleslafitte.org/grants/overview/,0
Global Youth Service Day Lead Agency Grants,"Youth Service America is looking for applicants who want to amplify year-round youth leadership and public awareness for young role models and their effect in community change. The grant supplies fundraising tools, newsletters, webinars, and support from YSA as well as other lead agencies. Deadline: End of August.",Deadline: End of August,http://ysa.org/grants/organization-grants/gysdlead/,0
"Child/Youth Health, Education, Development, Job Training, Family Support and Community Development Grants","The W.K. Kellogg Foundation is looking for applicants with projects or programs that assist in the thriving of children, invest in helping families acquire stable jobs, and/or engage with communities to make them energetic and equitable. Deadline: Rolling.",Deadline: Rolling,https://wrm.wkkf.org/uWebRequestManager/UI/Application.aspx?tid=24bf1841-48f7-4971-b7a7-96bd78992f62&LanguageID=0,0
Arts & Culture Place-Based Initiatives Grant,"The Kresge Foundation is looking for applicants who aim to introduce creativity in community development, primarily in low-income areas. Applicants must focus on the arts, health, environment, and/or human services and ensure that community residents engage in, benefit from, and are empowered by involved activities. Deadline: Rolling.",Deadline: Rolling,http://kresge.org/programs/arts-culture/place-based-initiatives-0,0
The Educators of America Educator and Technology Grants,"The Educators of America are looking for applicants who do not have the proper tools as educators to provide an adequate learning environment in the classroom; the goal is not to just provide equipment, but to train educators in how to properly use it, bettering student achievement. Deadline: Rolling.",Deadline: Rolling,https://www.educatorsusa.org/educator-and-technology-grants?gclid=CjwKEAjw-LLKBRCdhqmwtYmX93kSJAAORDM6aV5Ou53r5qvS9HTSntUiVlq0zCowFPOvEC_qrsWcGRoCBrjw_wcB,0
"OMRON Foundation, Inc.’s Education Grants","The OMRON Foundation, Inc. prioritizes programs that support education from elementary to college, with a focus on engineering, science, mathematics, and technology. The foundation also supports programs for the disabled and that provide basic needs (food, clothing, and shelter), disaster relief, and health. The grant request process requires all qualified organizations to submit an application that is a preliminary document, similar to a Letter of Inquiry. The application is available to access online. Based on the application, an organization may be invited to submit a full proposal. Deadline: Rolling.",Deadline: Rolling,http://www.omronfoundation.omron.com/guidelines.php,1
Aflac Charitable Contributions,"Through its Charitable Contributions Grant, nonprofit 501(c)(3) organizations can apply under one of the following areas of need: children and youth, education, environmental, health and human services, civic and community, arts and culture, and minority. Recent contributions have been awarded to cancer centers, libraries, youth mentorships, foster care centers, Junior Achievement, parochial and public high schools and school districts, and universities. Eligible applicants must not have received funds from the foundation within the last year. Requests are not accepted from individuals, private secondary schools, or religious organizations. Deadline: Rolling.",Deadline: Rolling.,https://www.aflac.com/about-aflac/corporate-citizenship/default.aspx,1
Alliances for Psychosocial Advancements in Living,"The Alliances for Psychosocial Advancements in Living (APAL) Foundation is offering support for programs that use trained classroom volunteers to assist teachers with small group discussions to develop CommonCore ELA Speaking-Listening skills. Initial grants (up to $1,000) for promotion and expansion of existing programs, and to help increase understanding of successful program implementation and sustainability. Deadline: Rolling.",Deadline: Rolling.,http://www.elguides.cc/contact.html,0
Adidas Corporate Giving Grants,"Adidas Group focuses on projects that address education, children and youth, sports within a social context, and preventive health activities. The group offers cash grants as well as in-kind donations of services and equipment. Previous grants were used to fund after-school literacy, service-learning initiatives, sports programs for underserved and economically challenged urban communities, and before-school physical activity programs for children aged 5 through 12. Eligible applicants are US nonprofit 501(c)(3) organizations and schools. Deadline: Rolling.",Deadline: Rolling,http://www.adidas-group.com/en/sustainability/people/community-engagement/,1
Minigrants for Youth Amateur Radio Groups,"The ARRL Foundation of the American Radio Relay League (ARRL) supports programs and projects for youth that enrich the experience of radio amateurs under the age of 18. Minigrants are made for the following types of projects: securing equipment for antennas for club stations; purchasing training materials; and local service projects that bring favorable public exposure. Groups that qualify for minigrants include, but are not limited to: high school radio clubs; youth groups; and general interest radio clubs that sponsor subgroups of young people. Preference is given to groups that raise matching funds locally. Deadline: Deadline: Rolling",Deadline: Rolling,http://www.arrl.org/the-victor-c-clark-youth-incentive-program,0
